session_id,person,username,acierto,hint_number,total_hints,hint,guess,guess_not_empty,timestamp,last_updated,hint_length,guess_length
c6ddb155-7d63-49f9-b8d4-6b3ba1a850a2,Ludwig van Beethoven,alonso02_rupa,False,1,5,Padeció saturnismo debido a la ingesta de agua contaminada con plomo.,,False,2025-12-10T07:46:54.606466,2025-12-10T07:48:31.561403,69,0
c6ddb155-7d63-49f9-b8d4-6b3ba1a850a2,Ludwig van Beethoven,alonso02_rupa,False,2,5,Su muerte se atribuye a una insuficiencia hepática que desencadenó un coma hepático.,,False,2025-12-10T07:46:54.606466,2025-12-10T07:48:31.561403,84,0
c6ddb155-7d63-49f9-b8d4-6b3ba1a850a2,Ludwig van Beethoven,alonso02_rupa,False,3,5,Compuso treinta y dos sonatas para piano y nueve sinfonías.,,False,2025-12-10T07:46:54.606466,2025-12-10T07:48:31.561403,59,0
c6ddb155-7d63-49f9-b8d4-6b3ba1a850a2,Ludwig van Beethoven,alonso02_rupa,False,4,5,Su ópera Fidelio es una de sus obras más destacadas.,,False,2025-12-10T07:46:54.606466,2025-12-10T07:48:31.561403,52,0
c6ddb155-7d63-49f9-b8d4-6b3ba1a850a2,Ludwig van Beethoven,alonso02_rupa,False,5,5,Fue el último gran representante del clasicismo vienés.,,False,2025-12-10T07:46:54.606466,2025-12-10T07:48:31.561403,55,0
b159588d-07f5-4465-b6e2-4639cc17b6f8,Mahatma Gandhi,alonso02_rupa,False,1,4,Fue influenciado por la correspondencia con León Tolstói en su concepto de resistencia.,,False,2025-12-10T07:48:32.886584,2025-12-10T07:48:37.983897,87,0
b159588d-07f5-4465-b6e2-4639cc17b6f8,Mahatma Gandhi,alonso02_rupa,False,2,4,Estudió Derecho en Londres y regresó a la India para ejercer la abogacía.,,False,2025-12-10T07:48:32.886584,2025-12-10T07:48:37.983897,73,0
b159588d-07f5-4465-b6e2-4639cc17b6f8,Mahatma Gandhi,alonso02_rupa,False,3,4,Instauró métodos de lucha social novedosos como la huelga de hambre y la predicación de la áhimsa.,,False,2025-12-10T07:48:32.886584,2025-12-10T07:48:37.983897,98,0
b159588d-07f5-4465-b6e2-4639cc17b6f8,Mahatma Gandhi,alonso02_rupa,False,4,4,Participó en la Conferencia de Londres en 1931 reclamando la independencia.,,False,2025-12-10T07:48:32.886584,2025-12-10T07:48:37.983897,75,0
587ba249-91b7-4487-8dc8-dfd568efe190,Charles Chaplin,alonso02_rupa,False,1,2,Fue cofundador de la compañía de distribución cinematográfica United Artists en 1919.,,False,2025-12-10T07:57:04.046292,2025-12-10T07:57:11.312833,85,0
587ba249-91b7-4487-8dc8-dfd568efe190,Charles Chaplin,alonso02_rupa,False,2,2,Comenzó a actuar a los 14 años debido a la internación de su madre en un hospicio psiquiátrico.,,False,2025-12-10T07:57:04.046292,2025-12-10T07:57:11.312833,95,0
9c8e5d97-6687-48ac-bd6e-243825d7aad0,Winston Churchill,,False,1,5,Fue un prolífico pintor y ganador del Premio Nobel de Literatura en 1953.,,False,2025-12-10T08:02:15.763960,2025-12-10T08:02:30.081922,73,0
9c8e5d97-6687-48ac-bd6e-243825d7aad0,Winston Churchill,,False,2,5,Se unió al ejército británico en 1895 y vio acción en la India británica.,,False,2025-12-10T08:02:15.763960,2025-12-10T08:02:30.081922,73,0
9c8e5d97-6687-48ac-bd6e-243825d7aad0,Winston Churchill,,False,3,5,Fue presidente de la Junta de Comercio y secretario del Interior en el gobierno liberal.,,False,2025-12-10T08:02:15.763960,2025-12-10T08:02:30.081922,88,0
9c8e5d97-6687-48ac-bd6e-243825d7aad0,Winston Churchill,,False,4,5,Concibió y dirigió la desastrosa campaña de Galípoli durante la Primera Guerra Mundial.,,False,2025-12-10T08:02:15.763960,2025-12-10T08:02:30.081922,87,0
9c8e5d97-6687-48ac-bd6e-243825d7aad0,Winston Churchill,,False,5,5,Nació en Oxfordshire en una familia rica y aristocrática en 1874.,,False,2025-12-10T08:02:15.763960,2025-12-10T08:02:30.081922,65,0
c7738018-5252-4488-993f-213ed16a142a,Galileo Galilei,alonso02_rupa,True,1,3,Descubrió la ley de la isocronismo de los péndulos como estudiante.,Prueba123,True,2025-12-10T10:59:05.303307,2025-12-10T10:59:23.786848,67,9
c7738018-5252-4488-993f-213ed16a142a,Galileo Galilei,alonso02_rupa,True,2,3,Fue hijo de un músico y matemático llamado Vincenzo.,Nose,True,2025-12-10T10:59:05.303307,2025-12-10T10:59:23.786848,52,4
c7738018-5252-4488-993f-213ed16a142a,Galileo Galilei,alonso02_rupa,True,3,3,Observó manchas en el Sol y demostró que están en su superficie.,Galileo,True,2025-12-10T10:59:05.303307,2025-12-10T10:59:23.786848,64,7
1f344562-d27d-4181-823d-597b2e82da6b,Isaac Newton,alonso02_rupa,True,1,7,"Escribió una lista de sus pecados, incluyendo amenazar a sus padres con quemar su casa.",Dante,True,2025-12-10T10:59:30.175792,2025-12-10T11:00:13.017176,87,5
1f344562-d27d-4181-823d-597b2e82da6b,Isaac Newton,alonso02_rupa,True,2,7,"Su abuelo lo desheredó, a pesar de vivir en la misma casa.",Alighieri,True,2025-12-10T10:59:30.175792,2025-12-10T11:00:13.017176,58,9
1f344562-d27d-4181-823d-597b2e82da6b,Isaac Newton,alonso02_rupa,True,3,7,Desarrolló un carro de cuatro ruedas impulsado por una manivela que él accionaba desde su interior.,Leonardo Da Vinci,True,2025-12-10T10:59:30.175792,2025-12-10T11:00:13.017176,99,17
1f344562-d27d-4181-823d-597b2e82da6b,Isaac Newton,alonso02_rupa,True,4,7,"Escribió su obra más importante sobre óptica, Opticks, en 1704.",No se,True,2025-12-10T10:59:30.175792,2025-12-10T11:00:13.017176,63,5
1f344562-d27d-4181-823d-597b2e82da6b,Isaac Newton,alonso02_rupa,True,5,7,"Nació en Woolsthorpe-by-Colsterworth, Lincolnshire, en 1643.",Vete tu a saber,True,2025-12-10T10:59:30.175792,2025-12-10T11:00:13.017176,60,15
1f344562-d27d-4181-823d-597b2e82da6b,Isaac Newton,alonso02_rupa,True,6,7,"Su padre murió antes de que él naciera, en octubre de 1642.",Probando,True,2025-12-10T10:59:30.175792,2025-12-10T11:00:13.017176,59,8
1f344562-d27d-4181-823d-597b2e82da6b,Isaac Newton,alonso02_rupa,True,7,7,Fue un físico y matemático que desarrolló las leyes de la física y la astronomía.,Newton,True,2025-12-10T10:59:30.175792,2025-12-10T11:00:13.017176,81,6
1efbdd6b-2f04-4756-8bb1-287469ebabd2,Iosif Stalin,alonso02_rupa,False,1,1,Utilizó el seudónimo 'Koba' en sus escritos y comunicaciones personales.,,False,2025-12-10T11:00:19.085107,2025-12-10T11:00:19.085113,72,0
959765ce-87aa-4b6f-9e29-f025ffacfd39,Albert Einstein,alonso02_rupa,False,1,1,Publicó su teoría de la relatividad especial en 1905 mientras trabajaba en la Oficina de Patentes de Berna.,,False,2025-12-10T11:04:02.640688,2025-12-10T11:04:04.078269,107,0
bc9f8e9e-7a19-4178-9388-1ed19c7c8200,Leonardo da Vinci,alonso02_rupa,False,1,1,Legó todos sus proyectos y escritos a Francesco Melzi al final de su vida.,,False,2025-12-10T11:04:05.054053,2025-12-10T11:04:05.054059,74,0
80756fb6-6396-4d15-ba2c-cabdabac6e3e,Isaac Newton,alonso02_rupa,True,1,5,"Escribió una lista de sus pecados, incluyendo amenazar a sus padres con quemar su casa.",,False,2025-12-11T11:20:29.715494,2025-12-11T11:21:08.422162,87,0
80756fb6-6396-4d15-ba2c-cabdabac6e3e,Isaac Newton,alonso02_rupa,True,2,5,"Su abuelo lo desheredó, a pesar de vivir en la misma casa.",,False,2025-12-11T11:20:29.715494,2025-12-11T11:21:08.422162,58,0
